fit_session,model,head,columns,nonzero_exact,nonzero_above_1e_12,interaction_nonzero_exact,intercept_or_constant
2023-05-01,M1,q90,19,5,5,0,0.07236747317529026
2023-05-01,M1,p10,19,19,19,0,-2.891157406652798
2023-05-01,M2,mu5,63,63,63,6,0.0029444556040005066
2023-05-01,M2,q90,63,13,13,0,0.06860511102387362
2023-05-01,M2,p10,63,63,63,6,-2.997719877943612
2023-06-01,M0,mu5,0,0,0,0,0.0031042711473051095
2023-06-01,M0,q90,0,0,0,0,0.07192535646836686
2023-06-01,M0,p10,0,0,0,0,0.06221198156682028
2023-06-01,M1,mu5,19,19,19,0,0.0031042711473051165
2023-06-01,M1,q90,19,5,5,0,0.0706599902592232
2023-06-01,M1,p10,19,19,19,0,-2.918722413217644
2023-06-01,M2,mu5,63,63,63,6,0.003104271147305133
2023-06-01,M2,q90,63,12,12,0,0.06861322592115596
2023-06-01,M2,p10,63,63,63,6,-3.0256701479853403
2023-07-03,M0,mu5,0,0,0,0,0.0038384782540241795
2023-07-03,M0,q90,0,0,0,0,0.07181320083549528
2023-07-03,M0,p10,0,0,0,0,0.06103074141048825
2023-07-03,M1,mu5,19,19,19,0,0.0038384782540241765
2023-07-03,M1,q90,19,5,5,0,0.06954105207131807
2023-07-03,M1,p10,19,19,19,0,-2.944431688038317
2023-07-03,M2,mu5,63,63,63,6,0.0038384782540242537
2023-07-03,M2,q90,63,11,11,0,0.06751514195522776
2023-07-03,M2,p10,63,63,63,6,-3.0560511795340157
2023-08-01,M0,mu5,0,0,0,0,0.003992174840841675
2023-08-01,M0,q90,0,0,0,0,0.07133423816018289
2023-08-01,M0,p10,0,0,0,0,0.05994671403197158
2023-08-01,M1,mu5,19,19,19,0,0.003992174840841683
2023-08-01,M1,q90,19,4,4,0,0.06944491026196581
2023-08-01,M1,p10,19,19,19,0,-2.9658896464638103
2023-08-01,M2,mu5,63,63,63,6,0.003992174840841743
2023-08-01,M2,q90,63,10,10,0,0.06691231102738474
2023-08-01,M2,p10,63,63,63,6,-3.0798580017088324
2023-09-01,M0,mu5,0,0,0,0,0.003925037322050172
2023-09-01,M0,q90,0,0,0,0,0.07115100617349691
2023-09-01,M0,p10,0,0,0,0,0.0587467362924282
2023-09-01,M1,mu5,19,19,19,0,0.003925037322050169
2023-09-01,M1,q90,19,4,4,0,0.0693838868655602
2023-09-01,M1,p10,19,19,19,0,-2.9901498542621896
2023-09-01,M2,mu5,63,63,63,6,0.003925037322050106
2023-09-01,M2,q90,63,9,9,0,0.06550245043879968
2023-09-01,M2,p10,63,63,63,6,-3.106344768095618
2023-10-02,M0,mu5,0,0,0,0,0.003771826009957354
2023-10-02,M0,q90,0,0,0,0,0.07115100617349691
2023-10-02,M0,p10,0,0,0,0,0.05859709153122327
2023-10-02,M1,mu5,19,19,19,0,0.003771826009957361
2023-10-02,M1,q90,19,4,4,0,0.06925945799154878
2023-10-02,M1,p10,19,19,19,0,-2.989825523408426
2023-10-02,M2,mu5,63,63,63,6,0.003771826009957342
2023-10-02,M2,q90,63,12,12,0,0.06653796410261224
2023-10-02,M2,p10,63,63,63,6,-3.1101751241099973
2023-11-01,M0,mu5,0,0,0,0,0.0034672343627969136
2023-11-01,M0,q90,0,0,0,0,0.07114293786147624
2023-11-01,M0,p10,0,0,0,0,0.05751469353484467
2023-11-01,M1,mu5,19,19,19,0,0.00346723436279691
2023-11-01,M1,q90,19,5,5,0,0.0701914606838698
2023-11-01,M1,p10,19,19,19,0,-3.0104589571347193
2023-11-01,M2,mu5,63,63,63,6,0.003467234362796931
2023-11-01,M2,q90,63,11,11,0,0.06712800451411201
2023-11-01,M2,p10,63,63,63,6,-3.1340651223869416
2023-12-01,M0,mu5,0,0,0,0,0.004206908330312088
2023-12-01,M0,q90,0,0,0,0,0.0708269648556419
2023-12-01,M0,p10,0,0,0,0,0.056518151815181515
2023-12-01,M1,mu5,19,19,19,0,0.004206908330312095
2023-12-01,M1,q90,19,4,4,0,0.06903650020147666
2023-12-01,M1,p10,19,19,19,0,-3.0337336496611167
2023-12-01,M2,mu5,63,63,63,6,0.004206908330312042
2023-12-01,M2,q90,63,13,13,0,0.06592811077843302
2023-12-01,M2,p10,63,63,63,6,-3.163400236977388
